Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-02-28,Bawarchi Bi,Restaurants & Bars,Joint Checking (...3359),SQ *BAWARCHI BI,,-67.21,,Shared
2026-02-28,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-27.63,,Shared
2026-02-28,Taaza Mart,Groceries,Apple Card,Taaza Mart Denver,,-143.93,,Shared
2026-02-28,Ross Dress for Less,Shopping,Apple Card,Ross Stores,,-59.77,,Shared
2026-02-27,Sunbit,Loan Repayment,Joint Checking (...3359),SUNBIT,,-793.05,,Shared
2026-02-27,Maverik,Gas,Apple Card,Maverik,,-43.30,,Shared
2026-02-27,Maverik,Gas,Apple Card,Maverik #5413,,-43.30,,Shared
2026-02-27,Google,Advertising & Promotion,Apple Card,Google,,-24.14,,Shared
2026-02-27,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-10.78,,Shared
2026-02-26,Apple,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal APPLECARD GSBANK PAYMENT,,-1123.19,,Shared
2026-02-26,Starbucks,Restaurants & Bars,Apple Card,Starbucks 8007827282,,-35.00,,Shared
2026-02-26,King Soopers,Groceries,Apple Card,King Soopers,,-5.65,,Shared
2026-02-25,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,3000.00,,Shared
2026-02-25,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 2481,,4580.00,,Shared
2026-02-25,Taco Bell,Restaurants & Bars,Apple Card,Taco Bell,,-7.52,,Shared
2026-02-25,Bill Payment,Transfer,Apple Card,Bill Payment,,1123.19,,Shared
2026-02-24,Comcast,Internet & Cable,Joint Checking (...3359),ACH Withdrawal COMCAST-XFINITY CABLE SVCS,,-50.59,,Shared
2026-02-23,Maverik,Gas,Apple Card,Maverik,,-46.32,,Shared
2026-02-23,Toyota,Auto Payment,Joint Checking (...3359),ACH Withdrawal TOYOTA ACH RTL 02192026,,-1019.19,,Shared
2026-02-23,Target,Shopping,Apple Card,Target,,-50.89,,Shared
2026-02-23,King Soopers,Groceries,Apple Card,King Soopers,,-92.12,,Shared
2026-02-22,Maverik,Gas,Apple Card,Maverik,,-40.91,,Shared
2026-02-22,Sport Clips,Personal,Apple Card,Sport Clips,,-45.00,,Shared
2026-02-20,Zelle,Transfer,Joint Checking (...3359),Zelle Payment To ZAKIR MB41IYW6D,,-270.00,,Shared
2026-02-19,Nutrition,Restaurants & Bars,Joint Checking (...3359),DCSD NUTRITION,,-70.00,,Shared
2026-02-19,Phillips 66,Gas,Apple Card,Phillips 66,,-50.76,,Shared
2026-02-18,Raising Cane's,Restaurants & Bars,Apple Card,Raising Cane's Chicken Fingers,,-12.59,,Shared
2026-02-18,Apple,Shopping,Apple Card,Apple,,-2.04,,Shared
2026-02-18,Apple Services,Shopping,Apple Card,Apple Services,,-11.81,,Shared
2026-02-17,Circle K,Gas,Apple Card,Circlek#2709516,,-55.11,,Shared
2026-02-17,Check #166,Transfer,Joint Checking (...3359),Check              166,,-520.00,,Shared
2026-02-17,Apple,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal APPLECARD GSBANK PAYMENT,,-978.07,,Shared
2026-02-17,Apple Services,Shopping,Apple Card,Apple Services,,-9.99,,Shared
2026-02-17,Circle K,Gas,Apple Card,Circlek#2709516,,-55.11,,Shared
2026-02-17,King Soopers,Groceries,Apple Card,King Soopers,,-123.76,,Shared
2026-02-16,Apple Services,Shopping,Apple Card,Apple Services,,-0.99,,Shared
2026-02-15,Phillips 66,Gas,Apple Card,Phillips 66,,-40.42,,Shared
2026-02-14,Bill Payment,Transfer,Apple Card,Bill Payment,,21.93,,Shared
2026-02-14,Bill Payment,Transfer,Apple Card,Bill Payment,,978.07,,Shared
2026-02-14,State Farm,Insurance,Apple Card,State Farm Insurance,,-262.80,,Shared
2026-02-14,Konark Grocers Store,Groceries,Apple Card,Konark Grocers Store,,-17.94,,Shared
2026-02-14,Walmart,Groceries,Apple Card,Wm Supercenter #2892,,-51.73,,Shared
2026-02-14,Taaza Mart Denver,Groceries,Apple Card,Taaza Mart Denver,,-70.03,,Shared
2026-02-14,Taaza Mart Holding,Groceries,Apple Card,Taaza Mart Holding,,-52.83,,Shared
