Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-01-31,Walmart,Groceries,Apple Card,Walmart Supercenter,,-33.37,,Shared
2026-01-31,Sport Clips,Personal,Apple Card,Sport Clips - Co142 -,,-39.00,,Shared
2026-01-31,Bedazzled Nails & Bar,Personal,Apple Card,Bedazzled Nails & Bar,,-158.00,,Shared
2026-01-30,Sunbit,Loan Repayment,Joint Checking (...3359),SUNBIT,,-793.05,,Shared
2026-01-30,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-30,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-30,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-100.00,,Shared
2026-01-29,Check #164,Check,Joint Checking (...3359),Check              164,,-175.00,,Shared
2026-01-29,Spruce Power Payments,Gas & Electric,Joint Checking (...3359),ACH Withdrawal Spruce Power 4 PAYMENTS,,-21.46,,Shared
2026-01-29,Conoco,Gas,Apple Card,Conoco,,-45.06,,Shared
2026-01-28,Walmart,Shopping,Joint Checking (...3359),WM SUPERCENTER,,-182.45,,Shared
2026-01-28,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-21.43,,Shared
2026-01-28,Ilmakiagenyc Replenish,Shopping,Apple Card,Ilmakiagenyc*replenish,,-107.00,,Shared
2026-01-28,Betterme Inc Mobapps,Entertainment & Recreation,Apple Card,Betterme Inc - Mobapps,,-94.85,,Shared
2026-01-27,Costco,Shopping,Joint Checking (...3359),COSTCO WHSE #10,,-153.48,,Shared
2026-01-27,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-27,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-27,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,1500.00,,Shared
2026-01-27,Bank of America,Transfer,Joint Checking (...3359),"ACH Deposit From Bank of America, NA",,1500.00,,Shared
2026-01-26,Shell,Gas,Apple Card,Shell,,-58.81,,Shared
