Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-05-04,PWSD Utility,Water,Joint Checking (...3359),ACH Withdrawal PWSD UTILITY,,-103.15,,Shared
2026-05-04,Chase,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal CHASE CREDIT CRD EPAY,,-355.94,,Shared
2026-05-04,Rocket Mortgage,Mortgage,Joint Checking (...3359),ACH Withdrawal ROCKET MORTGAGE LOAN,,-3729.92,,Shared
2026-05-04,Target,Shopping,Joint Checking (...3359),ACH Withdrawal TARGET DEBIT CRD ACH TRAN 5S0102 TARGET 2716 HIGHLANDS RAN CO,,-43.24,,Shared
2026-05-04,Discover,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-05-04,Discover,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-05-04,Discover,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-100.00,,Shared
2026-05-04,Circle K,Gas,Joint Checking (...3359),CIRCLEK#2709516,,-96.00,,Shared
2026-05-03,Xfinity,Internet & Cable,Joint Checking (...3359),XFINITY MOBILE,,-19.79,,Shared
2026-05-03,Bakeries,Restaurants & Bars,Apple Card,"Garnish Fusion Bakery, Bar & Grill",,-53.99,,Shared
2026-05-03,Walmart,Shopping,Apple Card,Walmart Vision Center,,-76.22,,Shared
2026-05-03,Uber,Taxi & Ride Shares,Apple Card,Uber   *one Membership,,-9.99,,Shared
2026-05-02,Noodles & Company,Restaurants & Bars,Apple Card,Noodles & Company,,-8.48,,Shared
2026-05-02,Bawarchi Biryanis,Restaurants & Bars,Apple Card,Bawarchi Biryanis,,-51.74,,Shared
2026-05-02,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-31.50,,Shared
2026-05-01,Zelle,Transfer,Joint Checking (...3359),Zelle Payment To HEMAN VORA MBI1WXNID,,-65.00,,Shared
2026-05-01,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-45.01,,Shared
