Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-06-17,Chalk Creek Campground & RV Park,Travel & Vacation,Apple Card,Chalk Creek Campground & RV Park,,-118.70,,Shared
2026-06-16,Apple,Credit Card Payment,CASHBACK DEBIT (...3359),ACH WITHDRAWAL APPLECARD GSBANK PAYMENT,,-1794.77,,Shared
2026-06-16,State Farm,Insurance,Apple Card,State Farm Insurance,,-219.69,,Shared
2026-06-16,Bank of America,Transfer,CASHBACK DEBIT (...3359),"ACH DEPOSIT FROM BANK OF AMERICA, NA",,1100.00,,Shared
2026-06-15,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-30.46,,Shared
2026-06-15,"Apple Card, Cash, and Savings",Credit Card Payment,Apple Card,Bill Payment,,1794.77,,Shared
2026-06-15,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0614 7606&@#KONARK GROCERS PARKER CO US,,-11.61,,Shared
2026-06-15,King Soopers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0614 7606&@#KING SOOPERS #0 PARKER CO US,,-60.21,,Shared
2026-06-15,Apple Pay,Transfer,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0613 7606&@#APPLE CASH SENT 877-233-8552 CA US,,-111.16,,Shared
2026-06-15,Apple Pay,Other Income,CASHBACK DEBIT (...3359),POS CREDIT 0614 7606&@#APPLE CASH REFU 877-233-8552 CA US,,111.16,,Shared
2026-06-15,Real Property Management,Business Income,CASHBACK DEBIT (...3359),ACH DEPOSIT SIGONFILE FROM REAL PROPERTY MA,,2695.50,,Shared
2026-06-15,Xcel Energy,Gas & Electric,CASHBACK DEBIT (...3359),ACH WITHDRAWAL XCEL ENERGY-PSCO XCELENERGY,,-149.98,,Shared
2026-06-14,Zelle,Transfer,CASHBACK DEBIT (...3359),ZELLE PAYMENT TO MANOJ 3BC1ZMAOD,,-115.00,,Shared
2026-06-14,Twin Star Energy,Uncategorized,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0614 7606&@#TWIN STAR ENERG PARKER CO US,,-65.09,,Shared
2026-06-14,Parker Days,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0613 7606&@#SQ *PARKER DAYS PARKER CO US,,-62.40,,Shared
2026-06-14,Parker Days,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0613 7606&@#SQ *PARKER DAYS LEXINGTON NC US,,-20.80,,Shared
2026-06-14,Parker Days,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0614 8352&@#SQ *PARKER DAYS PARKER CO US,,-104.00,,Shared
2026-06-14,Parker Days,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0614 7606&@#SQ *PARKER DAYS PARKER CO US,,-41.60,,Shared
2026-06-14,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.27,,Shared
2026-06-14,"Apple Card, Cash, and Savings",Transfer,Apple Cash,Transfer,,-115.00,,Shared
2026-06-14,Funways,Entertainment & Recreation,Apple Card,Funways,,-8.00,,Shared
2026-06-13,Sport Clips,Personal,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0611 7606&@#SPORT CLIPS - C PARKER CO US,,-39.00,,Shared
2026-06-13,Spice Exchange,Groceries,Apple Card,Shop Spice Exchang,,-20.00,,Shared
2026-06-13,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-27.20,,Shared
2026-06-12,Walmart,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0612 7606&@#WAL-MART #2892 PARKER CO US,,-104.91,,Shared
2026-06-12,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.27,,Shared
2026-06-12,S&s Fuels,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0612 8352&@#S&S FUELS #305 PARKER CO US,,-82.73,,Shared
2026-06-12,Chase,Credit Card Payment,CASHBACK DEBIT (...3359),ACH WITHDRAWAL CHASE CREDIT CRD EPAY,,-500.00,,Shared
2026-06-11,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-27.20,,Shared
2026-06-11,Konark Gro,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0609 7606&@#TST* KONARK GRO HIGHLANDS RAN CO US,,-14.67,,Shared
2026-06-11,Target,Shopping,CASHBACK DEBIT (...3359),ACH WITHDRAWAL TARGET DEBIT CRD PURCHASE,,-45.59,,Shared
2026-06-10,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0609 7606&@#KONARK GROCERS HIGHLANDS RAN CO US,,-12.97,,Shared
2026-06-10,Walmart,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0609 7606&@#WAL-MART #2892 PARKER CO US,,-122.46,,Shared
2026-06-08,Formula,Shopping,Apple Card,Formula,,-62.99,,Shared
2026-06-08,Circle K,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0608 140831 7606&@#CIRCLE K #27-K0 CENTENNIAL CO US,,-200.00,,Shared
2026-06-08,Circle K,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0608 140937 7606&@#CIRCLE K #27-K0 CENTENNIAL CO US,,-200.00,,Shared
2026-06-08,Circle K,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0608 141030 7606&@#CIRCLE K #27-K0 CENTENNIAL CO US,,-100.00,,Shared
2026-06-06,Bawarchi,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0605 7606&@#SQ *BAWARCHI BI CENTENNIAL CO US,,-64.01,,Shared
2026-06-06,Chipotle,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0605 7606&@#CHIPOTLE 0059 PARKER CO US,,-42.61,,Shared
2026-06-06,Party America,Shopping,Apple Card,Party America,,-96.43,,Shared
2026-06-06,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.35,,Shared
2026-06-06,Ross,Shopping,Apple Card,Ross Dress for Less,,-65.83,,Shared
2026-06-06,Five Below,Shopping,Apple Card,Five Below,,-34.94,,Shared
2026-06-05,Hobby Lobby,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0605 8352&@#HOBBYLOBBY PARKER CO US,,-7.54,,Shared
2026-06-05,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-35.35,,Shared
2026-06-04,UGK Construction,Home Improvement,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0603 7606&@#UGK CONSTRUCTIO 7208191234 CO US,,-560.87,,Shared
2026-06-04,Costco,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0604 173905 7606&@#COSTCO #1022-WD PARKER CO US,,-200.00,,Shared
2026-06-04,Costco,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0604 174004 7606&@#COSTCO #1022-WD PARKER CO US,,-200.00,,Shared
2026-06-04,Costco,Cash & ATM,CASHBACK DEBIT (...3359),ATM W/D 0604 174149 7606&@#COSTCO #1022-WD PARKER CO US,,-100.00,,Shared
2026-06-04,Cafe India,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0602 7606&@#TST*CAFE INDIA 720-638-6899 CO US,,-66.42,,Shared
2026-06-03,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0602 7606&@#KONARK GROCERS HIGHLANDS RAN CO US,,-33.06,,Shared
